No,ID,Word/Phrase,POS (Old),POS (New),English Meaning (Old),English Meaning (New),Thai Meaning (Old),Thai Meaning (New),Status,Audit Notes / Reason
1,ox_abandon,abandon,verb,verb,to leave behind,to leave behind,ละทิ้ง,ละทิ้ง,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
2,ox_ability,ability,noun,noun,the power to do,the power to do,ความสามารถ,ความสามารถ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
3,ox_academic,academic,adjective,adjective,related to education,related to education,เชิงวิชาการ,เชิงวิชาการ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
4,ox_achieve,achieve,verb,verb,to succeed,to succeed,บรรลุ,บรรลุ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
5,ox_acquire,acquire,verb,verb,to get,to get,ได้รับ,ได้รับ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
6,ox_benefit0,benefit,noun,noun,advantage or profit,advantage or profit,ผลประโยชน์,ผลประโยชน์,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
7,ox_challenge1,challenge,noun,noun,difficult task,difficult task,ความท้าทาย,ความท้าทาย,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
8,ox_concept2,concept,noun,noun,abstract idea,abstract idea,แนวคิด,แนวคิด,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
9,ox_debate3,debate,noun,noun,formal discussion,formal discussion,การอภิปราย,การอภิปราย,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
10,ox_enhance4,enhance,verb,verb,improve quality,improve quality,เพิ่มประสิทธิภาพ,เพิ่มประสิทธิภาพ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
11,ox_framework5,framework,noun,noun,basic structure,basic structure,กรอบแนวคิด,กรอบแนวคิด,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
12,ox_generate6,generate,verb,verb,produce,produce,สร้าง,สร้าง,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
13,ox_hypothesis7,hypothesis,noun,noun,proposed explanation,proposed explanation,สมมติฐาน,สมมติฐาน,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
14,ox_illustrate8,illustrate,verb,verb,explain with examples,explain with examples,อธิบายให้เห็นภาพ,อธิบายให้เห็นภาพ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
15,ox_justify9,justify,verb,verb,show to be right,show to be right,ให้เหตุผล,ให้เหตุผล,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
16,ox_knowledge10,knowledge,noun,noun,awareness,awareness,ความรู้,ความรู้,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
17,ox_likelihood11,likelihood,noun,noun,probability,probability,ความเป็นไปได้,ความเป็นไปได้,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
18,ox_maintain12,maintain,verb,verb,keep,keep,รักษาไว้,รักษาไว้,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
19,ox_negotiate13,negotiate,verb,verb,discuss to agree,discuss to agree,เจรจาต่อรอง,เจรจาต่อรอง,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
20,ox_objective14,objective,noun,noun,goal,goal,วัตถุประสงค์,วัตถุประสงค์,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
21,ox_perspective15,perspective,noun,noun,point of view,point of view,มุมมอง,มุมมอง,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
22,ox_qualify16,qualify,verb,verb,be entitled,be entitled,มีคุณสมบัติ,มีคุณสมบัติ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
23,ox_resolve17,resolve,verb,verb,find solution,find solution,แก้ไข,แก้ไข,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
24,ox_strategy18,strategy,noun,noun,plan,plan,กลยุทธ์,กลยุทธ์,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
25,ox_transform19,transform,verb,verb,change form,change form,เปลี่ยนแปลง,เปลี่ยนแปลง,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
26,ox_utilize20,utilize,verb,verb,make use,make use,ใช้ประโยชน์,ใช้ประโยชน์,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
27,ox_valid21,valid,adjective,adjective,well-founded,well-founded,ถูกต้อง,ถูกต้อง,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
28,ox_witness22,witness,noun,noun,see event,see event,พยาน,พยาน,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
29,ox_yield23,yield,verb,verb,produce,produce,ให้ผลผลิต,ให้ผลผลิต,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
30,ox_diverse24,diverse,adjective,adjective,varied,varied,หลากหลาย,หลากหลาย,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
31,ox_establish25,establish,verb,verb,set up,set up,ก่อตั้ง,ก่อตั้ง,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
32,ox_facilitate26,facilitate,verb,verb,make easier,make easier,อำนวยความสะดวก,อำนวยความสะดวก,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
33,ox_interpret27,interpret,verb,verb,explain meaning,explain meaning,ตีความ,ตีความ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
34,ox_motivate28,motivate,verb,verb,make want,make want,กระตุ้น,กระตุ้น,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
35,ox_obtain29,obtain,verb,verb,get,get,ได้รับ,ได้รับ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
36,ox_participate30,participate,verb,verb,take part,take part,เข้าร่วม,เข้าร่วม,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
37,ox_require31,require,verb,verb,need,need,ต้องการ,ต้องการ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
38,ox_sustain32,sustain,verb,verb,maintain,maintain,คงไว้,คงไว้,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
39,ox_tradition33,tradition,noun,noun,custom,custom,ประเพณี,ประเพณี,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
